EDGAR name, Filing Date, Link, ID
EATON VANCE CALIFORNIA MUNICIPAL INCOME TRUST (0001074692) (Filer),2020-01-22T13:30:38-05:00,https://www.sec.gov/Archives/edgar/data/1074692/000175272420007709/0001752724-20-007709-index.htm,urn:tag:sec.gov2008:accession-number=0001752724-20-007709
EATON VANCE GROWTH TRUST (0000102816) (Filer),2020-01-22T13:30:36-05:00,https://www.sec.gov/Archives/edgar/data/102816/000175272420007708/0001752724-20-007708-index.htm,urn:tag:sec.gov2008:accession-number=0001752724-20-007708
LORD ABBETT INVESTMENT TRUST (0000911507) (Filer),2020-01-22T13:16:01-05:00,https://www.sec.gov/Archives/edgar/data/911507/000175272420007705/0001752724-20-007705-index.htm,urn:tag:sec.gov2008:accession-number=0001752724-20-007705
LORD ABBETT INVESTMENT TRUST (0000911507) (Filer),2020-01-22T13:15:56-05:00,https://www.sec.gov/Archives/edgar/data/911507/000175272420007704/0001752724-20-007704-index.htm,urn:tag:sec.gov2008:accession-number=0001752724-20-007704
LORD ABBETT INVESTMENT TRUST (0000911507) (Filer),2020-01-22T13:15:54-05:00,https://www.sec.gov/Archives/edgar/data/911507/000175272420007703/0001752724-20-007703-index.htm,urn:tag:sec.gov2008:accession-number=0001752724-20-007703
LORD ABBETT INVESTMENT TRUST (0000911507) (Filer),2020-01-22T13:15:54-05:00,https://www.sec.gov/Archives/edgar/data/911507/000175272420007702/0001752724-20-007702-index.htm,urn:tag:sec.gov2008:accession-number=0001752724-20-007702
LORD ABBETT INVESTMENT TRUST (0000911507) (Filer),2020-01-22T13:15:39-05:00,https://www.sec.gov/Archives/edgar/data/911507/000175272420007700/0001752724-20-007700-index.htm,urn:tag:sec.gov2008:accession-number=0001752724-20-007700
LORD ABBETT RESEARCH FUND INC (0000887194) (Filer),2020-01-22T13:15:39-05:00,https://www.sec.gov/Archives/edgar/data/887194/000175272420007701/0001752724-20-007701-index.htm,urn:tag:sec.gov2008:accession-number=0001752724-20-007701
LORD ABBETT INVESTMENT TRUST (0000911507) (Filer),2020-01-22T13:15:37-05:00,https://www.sec.gov/Archives/edgar/data/911507/000175272420007699/0001752724-20-007699-index.htm,urn:tag:sec.gov2008:accession-number=0001752724-20-007699
LORD ABBETT INVESTMENT TRUST (0000911507) (Filer),2020-01-22T13:15:35-05:00,https://www.sec.gov/Archives/edgar/data/911507/000175272420007698/0001752724-20-007698-index.htm,urn:tag:sec.gov2008:accession-number=0001752724-20-007698
LORD ABBETT INVESTMENT TRUST (0000911507) (Filer),2020-01-22T13:15:31-05:00,https://www.sec.gov/Archives/edgar/data/911507/000175272420007697/0001752724-20-007697-index.htm,urn:tag:sec.gov2008:accession-number=0001752724-20-007697
LORD ABBETT INVESTMENT TRUST (0000911507) (Filer),2020-01-22T13:15:26-05:00,https://www.sec.gov/Archives/edgar/data/911507/000175272420007696/0001752724-20-007696-index.htm,urn:tag:sec.gov2008:accession-number=0001752724-20-007696
LORD ABBETT INVESTMENT TRUST (0000911507) (Filer),2020-01-22T13:15:23-05:00,https://www.sec.gov/Archives/edgar/data/911507/000175272420007692/0001752724-20-007692-index.htm,urn:tag:sec.gov2008:accession-number=0001752724-20-007692
LORD ABBETT RESEARCH FUND INC (0000887194) (Filer),2020-01-22T13:15:21-05:00,https://www.sec.gov/Archives/edgar/data/887194/000175272420007695/0001752724-20-007695-index.htm,urn:tag:sec.gov2008:accession-number=0001752724-20-007695
LORD ABBETT INVESTMENT TRUST (0000911507) (Filer),2020-01-22T13:15:18-05:00,https://www.sec.gov/Archives/edgar/data/911507/000175272420007694/0001752724-20-007694-index.htm,urn:tag:sec.gov2008:accession-number=0001752724-20-007694
LORD ABBETT INVESTMENT TRUST (0000911507) (Filer),2020-01-22T13:15:15-05:00,https://www.sec.gov/Archives/edgar/data/911507/000175272420007693/0001752724-20-007693-index.htm,urn:tag:sec.gov2008:accession-number=0001752724-20-007693
LORD ABBETT INVESTMENT TRUST (0000911507) (Filer),2020-01-22T13:15:13-05:00,https://www.sec.gov/Archives/edgar/data/911507/000175272420007691/0001752724-20-007691-index.htm,urn:tag:sec.gov2008:accession-number=0001752724-20-007691
LORD ABBETT RESEARCH FUND INC (0000887194) (Filer),2020-01-22T13:15:06-05:00,https://www.sec.gov/Archives/edgar/data/887194/000175272420007690/0001752724-20-007690-index.htm,urn:tag:sec.gov2008:accession-number=0001752724-20-007690
LORD ABBETT INVESTMENT TRUST (0000911507) (Filer),2020-01-22T13:15:04-05:00,https://www.sec.gov/Archives/edgar/data/911507/000175272420007689/0001752724-20-007689-index.htm,urn:tag:sec.gov2008:accession-number=0001752724-20-007689
